step,queue_length,average_speed,cumulative_reward,throughput,waiting_time
413,20,17.128735337391895,-54069.0,30,90.6
414,22,15.205919715720096,-54284.0,30,103.6
415,26,17.392319522572926,-54526.0,31,118.3
419,22,15.12071997831589,-54771.0,31,122.3
420,25,16.92815817296919,-54997.0,31,139.3
421,22,16.407950048408065,-55233.0,31,157.0
422,25,16.51076639219116,-55461.0,32,175.2
423,25,15.124240569666563,-55711.0,32,194.2
427,23,14.525955715675298,-55952.0,32,173.5
428,24,11.221936049873216,-56185.0,34,116.3
429,21,12.322628147376474,-56406.0,34,74.7
430,21,11.775960874155752,-56616.0,34,72.89999999999999
431,19,14.81519992062988,-56811.0,34,76.2
435,17,20.716547805269727,-56991.0,34,46.3
436,18,17.732488709312637,-57159.0,34,53.199999999999996
437,16,17.385134472167582,-57327.0,34,60.9
438,17,19.350494906816046,-57494.0,34,68.89999999999999
439,19,18.413084387428515,-57666.0,35,77.89999999999999
443,19,14.188309175146548,-57854.0,36,66.6
444,19,12.181241819640341,-58044.0,36,78.7
445,20,15.495165010626852,-58226.0,36,92.4
446,22,15.154757301932886,-58430.0,36,107.0
447,23,14.577727775210796,-58656.0,36,122.5
451,23,14.581405182077004,-58886.0,36,130.4
452,26,16.25365475455749,-59134.0,36,147.2
453,23,15.363861015956324,-59374.0,36,164.2
454,25,14.031020420587087,-59605.0,36,181.7
455,25,14.005231997401298,-59855.0,36,200.7
459,24,15.64658991352015,-60095.0,36,160.79999999999998
460,24,12.868938003485152,-60335.0,36,104.3
461,23,12.24000044386067,-60567.0,36,85.8
462,22,11.188561853284234,-60793.0,36,68.4
463,22,13.378424609518069,-61013.0,36,76.4
467,17,16.4277339508414,-61187.0,36,49.9
468,17,14.915761962053866,-61357.0,36,57.9
469,21,19.78827671436248,-61549.0,36,65.9
470,21,20.144978174925562,-61759.0,36,73.9
471,22,19.997390003051237,-61976.0,36,83.5
475,21,18.033859560915005,-62186.0,37,76.1
476,20,17.228784369518113,-62390.0,37,89.2
477,22,17.401061472279032,-62589.0,37,105.2
478,23,15.77445494195326,-62816.0,38,121.2
482,22,14.230537941509347,-63057.0,38,140.0
483,22,13.393561905133323,-63277.0,38,139.3
484,20,15.19481598554827,-63494.0,38,156.1
485,22,16.18713284934928,-63709.0,38,173.1
486,21,14.1904252974806,-63922.0,38,190.1
490,22,8.399465224426475,-64162.0,38,206.9
491,22,7.769922621895215,-64382.0,39,128.1
492,20,12.922815887499738,-64604.0,39,92.0
493,20,12.671325281073083,-64804.0,40,62.7
494,19,14.321788271335459,-65006.0,40,70.7
498,14,21.14725840967549,-65181.0,40,52.5
499,15,21.754524561590575,-65327.0,41,59.300000000000004
500,12,22.77237291116809,-65459.0,41,66.3
501,15,23.550573304343633,-65589.0,41,73.3
502,16,22.852944851297575,-65747.0,41,80.9
506,20,19.901833041256843,-65929.0,41,66.0
507,20,14.4120798878304,-66129.0,41,74.7
508,17,15.200913910625916,-66314.0,41,85.5
509,20,15.952034428322312,-66510.0,41,99.5
510,25,15.790799287487957,-66725.0,41,114.5
514,24,16.93168275281533,-66966.0,41,109.3
515,24,15.757277954908014,-67210.0,41,116.9
516,23,15.416495403346199,-67447.0,41,134.5
517,25,15.660842772655974,-67683.0,41,152.5
518,24,15.216041887651954,-67932.0,41,170.5
522,23,12.556992454380513,-68165.0,41,152.9
523,25,13.69034662864541,-68415.0,41,117.9
524,24,15.033353121084787,-68656.0,42,80.39999999999999
525,24,12.93145427533207,-68896.0,43,69.39999999999999
526,23,14.045143471192608,-69125.0,43,76.39999999999999
530,19,16.668270742809195,-69325.0,43,47.0
531,18,18.014494906681808,-69506.0,43,55.699999999999996
532,18,18.69833547490077,-69686.0,43,64.7
533,20,19.291706622808785,-69885.0,43,74.6
534,21,17.884873895442876,-70089.0,43,85.0
538,22,15.902613638460307,-70310.0,43,87.0
539,22,15.816447096287334,-70529.0,43,99.3
540,21,15.25714823460231,-70739.0,43,114.0
541,25,17.98133054141006,-70979.0,43,130.0
542,27,17.336736282451216,-71245.0,43,147.29999999999998
546,27,12.5966147901079,-71507.0,43,139.3
547,28,14.177697534035321,-71785.0,43,154.2
548,26,13.606178766131839,-72047.0,43,174.1
549,25,13.534475890103776,-72302.0,43,194.1
550,26,16.321442945757816,-72556.0,43,214.3
554,23,13.271181099845704,-72786.0,43,151.0
555,22,13.127992144021208,-73009.0,43,103.2
556,20,13.32830601765069,-73209.0,44,68.5
557,18,16.435771998892395,-73407.0,44,75.5
561,17,21.994609180403028,-73586.0,44,43.2
562,18,19.483065264616627,-73766.0,45,49.2
563,15,19.345210541784287,-73940.0,45,56.8
564,18,21.43795602885602,-74111.0,45,65.8
565,19,21.11582063561127,-74295.0,45,74.8
569,19,18.683464250823537,-74501.0,45,68.4
570,20,14.779789804206771,-74699.0,46,79.6
571,19,15.984529141085112,-74896.0,47,92.9
572,20,14.504349159583551,-75093.0,47,107.6
573,21,12.419530235739295,-75295.0,49,123.6
577,25,14.537928784306187,-75529.0,50,129.9
578,27,14.987846616136862,-75785.0,50,145.7
579,24,13.27414637959525,-76040.0,50,162.4
580,23,13.33879228176227,-76273.0,50,180.8
581,25,14.165102851282416,-76514.0,50,199.8
585,23,13.568471101177321,-76749.0,51,167.3
586,23,12.503430749507503,-76979.0,52,110.6
587,20,12.220746899400789,-77190.0,52,67.7
588,19,14.184865182559124,-77389.0,52,66.2
589,17,16.196508787307216,-77565.0,52,73.2
593,17,21.726748514854986,-77738.0,52,43.5
594,17,21.512581254227403,-77909.0,53,50.5
595,19,23.246793633473448,-78089.0,53,57.5
596,20,21.469609341594584,-78286.0,53,65.7
597,22,21.07739900359816,-78498.0,54,75.4
601,20,17.753655781396194,-78708.0,55,69.5
602,21,15.185052964761422,-78917.0,55,81.3
603,21,14.211957748813699,-79124.0,55,94.3
604,21,13.74871106547749,-79334.0,55,110.0
605,22,13.471703034204072,-79546.0,56,126.0
609,25,10.526882864313977,-79787.0,56,124.7
610,26,12.351850012293,-80043.0,56,142.0
611,24,11.18744741264512,-80289.0,56,160.9
612,25,12.686654113153313,-80534.0,56,179.9
613,29,16.323138753611644,-80813.0,57,199.1
617,26,10.72579611201544,-81079.0,57,158.6
618,26,9.44080009803722,-81339.0,57,110.7
619,24,11.43618069189601,-81581.0,57,96.6
620,23,11.232221952815253,-81815.0,57,76.2
621,21,13.646607852065248,-82034.0,57,84.2
625,19,16.511288743177133,-82226.0,57,65.3
626,19,15.536520337638061,-82411.0,57,73.3
627,19,17.865635585575106,-82599.0,57,81.3
628,19,16.903705846277912,-82789.0,57,89.7
629,20,17.043702556112677,-82992.0,57,99.39999999999999
633,25,15.843194366116625,-83236.0,57,81.8
634,25,13.70005306810007,-83483.0,58,96.9
635,24,12.3729752017026,-83719.0,58,115.2
636,26,10.002821386116356,-83969.0,58,135.0
640,26,13.820995349411842,-84239.0,58,161.9
641,27,13.473679375308528,-84503.0,58,163.0
642,25,12.84479383486293,-84780.0,58,182.3
643,25,12.133691744535932,-85030.0,59,203.3
644,27,12.647394563102925,-85291.0,59,224.3
648,26,10.575871442489706,-85559.0,59,243.2
649,28,11.382050953792813,-85839.0,59,164.8
650,25,10.236431578848707,-86112.0,59,129.6
651,25,11.976117678704368,-86362.0,59,90.4
652,21,12.384922161404866,-86589.0,60,94.3
656,17,20.694365240774573,-86787.0,60,64.9
657,18,20.564227692238294,-86961.0,61,73.60000000000001
658,17,21.095869769312596,-87129.0,61,82.6
659,20,22.09606211284902,-87317.0,61,91.6
660,20,21.683683218784417,-87517.0,62,101.2
664,21,17.587109497306198,-87726.0,62,84.7
665,22,13.46264050524317,-87938.0,62,96.7
666,21,14.948957757441814,-88158.0,62,111.89999999999999
667,23,15.205801255414494,-88388.0,62,127.89999999999999
668,23,12.396013082240499,-88618.0,62,143.9
672,23,14.407927461615769,-88846.0,62,136.2
673,25,15.029059311700088,-89084.0,62,152.9
674,23,14.331785054724623,-89324.0,62,165.5
675,22,12.294810349209774,-89551.0,63,182.7
676,24,14.151998713597663,-89783.0,63,200.7
680,21,12.529995291400013,-90005.0,63,165.4
681,21,11.11470036812719,-90215.0,63,100.1
682,19,14.842249213759658,-90410.0,63,64.9
683,19,19.38627097023096,-90602.0,63,71.9
684,16,18.91230304684849,-90769.0,63,78.9
688,18,18.10969715449055,-90949.0,63,48.199999999999996
689,19,14.909629171775551,-91134.0,63,55.4
690,20,15.627397483057814,-91321.0,63,64.6
691,22,16.380839669999816,-91531.0,63,75.3
692,21,15.589563548940799,-91750.0,63,86.7
696,23,10.838903164164034,-91977.0,64,83.0
697,23,10.254385788783832,-92212.0,64,97.7
698,24,12.618969371356284,-92439.0,64,113.7
699,24,12.752556258612643,-92679.0,64,131.6
700,26,13.349698501683429,-92927.0,66,150.3
704,26,15.586115896499878,-93181.0,66,161.2
705,26,15.926309289196736,-93445.0,66,177.4
706,25,15.886926718525062,-93691.0,66,195.8
707,26,17.05335447618287,-93943.0,66,214.8
708,26,16.768781031409716,-94195.0,66,234.3
712,23,9.928319180592426,-94425.0,67,181.9
713,21,8.964202732272428,-94648.0,67,121.10000000000001
714,21,9.67618629457716,-94858.0,67,72.10000000000001
715,19,12.11463955026174,-95061.0,67,80.1
716,18,14.049580417307224,-95246.0,67,88.1
720,17,15.68249189523936,-95406.0,68,60.1
721,16,18.803797102938653,-95587.0,68,67.1
722,19,21.55637880112911,-95757.0,68,74.1
723,21,20.57202690034903,-95964.0,68,81.3
727,21,19.41461011448997,-96180.0,68,60.7
728,21,16.742081299910026,-96390.0,68,72.3
729,21,15.84242007480088,-96616.0,68,85.7
